X	Y	Name	SiteID
489731.696223402	5432723.11748149	Roberts Bank	RBBP
484784.846239723	5451171.0774236	Iona	IONA
475621.077950684	5385813.37838725	Sidney Island	SDNY
500195.506140074	5461439.87240973	Maplewood, North Vancouver	MAPL
289566.984320128	5445244.85183395	JensensBay_N	NJEN
453442.709738674	5400651.08324912	Cowichan Bay	COWC
361766.944873975	5503538.15603954	Comox	COMX
457414.54251108	5355096.07142055	Pedder Bay	PEDD
406462.701706939	5464952.18209653	San Malo Mudflats	SANM
368566.661617521	5484941.65169586	Fanny Bay	FANY
296914.511153932	5442754.29052101	Grice Bay	GRIC
461770.142258842	5359444.00244525	Witty's Lagoon	WITT
369858.603061707	5483829.39838371	Ship's Point	SHPO
374610.281601464	5481350.58163142	Deep Bay	DEEP
413574.343791865	5458097.52109985	Nanoose Bay	NANO
446809.624022589	5356415.64133312	Whiffin Spit, Sooke	WHIF
214752.991077571	5618364.68937444	Rough Bay, Malcom Island	ROGH
450909.625975996	5415114.97447269	Chemainus River Delta	CHEM
525687.906313917	5335008.84970244	Crockett Lake	CROC
493670.603653136	5216069.70599692	Kennedy Creek, Totten Inlet	KENN
494917.453014246	5370315.35270811	False Bay	
463682.583451049	5360292.9459447	Albert's Head Lagoon	
465685.401858888	5364061.72763891	Esquimalt Lagooon	ESQU
430874.246216939	5453025.11282785	Pipers Lagoon	PIPE
401268.178642896	5467249.92263964	French Creek	FRCR
217010.591988234	5615529.97580923	Kavela Rd	KALE
289979.611585718	5444151.3651666	JensensBay_S	SJEN
466398.608820783	5367243.19012332	View Royal	VRYL
472707.42508288	5380986.8883125	Island View	ISVI
545779.423566303	5342205.48615231	Eide Rd	EIDE
541808.043240054	5345574.62615073	English Boom	ENBO
398002.069770799	5468374.50034052	Columbia Beach	COBE
486786.986741867	5504786.09355113	Squamish	SQUA
496327.14165191	5430245.88642422	Seaview	BBSV
498304.320032719	5433836.50320259	72nd	BB72
502332.256187595	5435194.26730103	92nd	BB92
504761.229503693	5435983.55186395	104	BB04
506420.833576428	5436748.98095791	112	BB12
510024.773192893	5437161.59513072	Mud Bay	BBMB
508725.68966899	5434185.51727228	Blackie Spit	BBBS
486169.334450114	5406587.73922421	Winter Cove	WINT
